protocol,network_size,topology,success_rate,avg_hops,avg_latency_us,total_tests,successful_tests
DRFE-R,50,ba,1.0,3.63,1.69,100,100
Chord,50,ba,1.0,4.86,0.09,100,100
Kademlia,50,ba,1.0,1.11,6.06,100,100
DRFE-R,50,random,0.96,3.625,1.09375,100,96
Chord,50,random,0.99,5.08080808080808,0.20202020202020202,100,99
Kademlia,50,random,0.97,1.0721649484536082,5.319587628865979,100,97
DRFE-R,50,grid,0.98,4.989795918367347,1.163265306122449,100,98
Chord,50,grid,0.96,4.5625,0.13541666666666666,100,96
Kademlia,50,grid,1.0,1.13,6.35,100,100
DRFE-R,100,ba,0.98,6.591836734693878,2.877551020408163,100,98
Chord,100,ba,1.0,4.84,0.33,100,100
Kademlia,100,ba,1.0,1.32,12.21,100,100
DRFE-R,100,random,0.99,4.4646464646464645,1.5454545454545454,100,99
Chord,100,random,0.98,5.3061224489795915,0.32653061224489793,100,98
Kademlia,100,random,0.99,1.3131313131313131,8.93939393939394,100,99
DRFE-R,100,grid,0.99,8.16161616161616,2.808080808080808,100,99
Chord,100,grid,0.99,5.05050505050505,0.25252525252525254,100,99
Kademlia,100,grid,0.98,1.346938775510204,11.653061224489797,100,98
DRFE-R,200,ba,1.0,23.67,8.17,100,100
Chord,200,ba,1.0,6.05,0.61,100,100
Kademlia,200,ba,0.99,1.5858585858585859,16.474747474747474,100,99
DRFE-R,200,random,1.0,15.52,4.82,100,100
Chord,200,random,0.98,5.744897959183674,0.9285714285714286,100,98
Kademlia,200,random,1.0,1.62,15.9,100,100
DRFE-R,200,grid,0.99,16.242424242424242,5.757575757575758,100,99
Chord,200,grid,1.0,5.74,0.58,100,100
Kademlia,200,grid,0.99,1.5353535353535352,14.686868686868687,100,99
DRFE-R,300,ba,1.0,43.4,14.77,100,100
Chord,300,ba,1.0,5.66,0.67,100,100
Kademlia,300,ba,1.0,1.74,21.71,100,100
DRFE-R,300,random,1.0,7.14,3.01,100,100
Chord,300,random,1.0,5.86,0.71,100,100
Kademlia,300,random,1.0,1.68,24.45,100,100
DRFE-R,300,grid,1.0,29.55,11.75,100,100
Chord,300,grid,0.99,5.848484848484849,0.6464646464646465,100,99
Kademlia,300,grid,0.99,1.6363636363636365,23.434343434343436,100,99
