topology,n,embedding,gravity_pct,pressure_pct,tree_pct
ba,50,PIE,76.0,24.0,0.0
ba,50,Random,10.2,30.3,59.5
ba,50,Ricci-Broken,14.4,33.4,52.2
ba,50,Ricci-Fixed,8.0,23.8,68.2
ba,100,PIE,33.5,24.9,41.6
ba,100,Random,3.8,14.8,81.5
ba,100,Ricci-Broken,3.2,19.5,77.2
ba,100,Ricci-Fixed,3.5,18.3,78.3
ba,200,PIE,11.5,14.1,74.4
ba,200,Random,2.3,11.8,85.9
ba,200,Ricci-Broken,1.7,17.4,81.0
ba,200,Ricci-Fixed,2.3,12.7,84.9
ba,300,PIE,8.6,8.7,82.7
ba,300,Random,1.3,10.5,88.2
ba,300,Ricci-Broken,1.2,7.0,91.8
ba,300,Ricci-Fixed,1.1,8.0,91.0
ws,50,PIE,71.2,20.7,8.1
ws,50,Random,7.4,31.1,61.4
ws,50,Ricci-Broken,6.5,38.7,54.8
ws,50,Ricci-Fixed,5.8,28.6,65.6
ws,100,PIE,34.0,22.2,43.8
ws,100,Random,3.7,24.5,71.8
ws,100,Ricci-Broken,2.8,26.5,70.7
ws,100,Ricci-Fixed,2.5,23.5,74.0
ws,200,PIE,63.9,16.4,19.7
ws,200,Random,1.6,15.0,83.4
ws,200,Ricci-Broken,1.3,17.5,81.2
ws,200,Ricci-Fixed,1.3,14.6,84.1
ws,300,PIE,31.1,22.8,46.1
ws,300,Random,0.9,12.9,86.2
ws,300,Ricci-Broken,0.7,12.0,87.3
ws,300,Ricci-Fixed,0.9,11.0,88.1
grid,50,PIE,57.2,21.2,21.6
grid,50,Random,6.1,34.5,59.5
grid,50,Ricci-Broken,1.6,29.1,69.3
grid,50,Ricci-Fixed,1.6,30.4,68.0
grid,100,PIE,50.1,32.6,17.3
grid,100,Random,2.9,21.9,75.2
grid,100,Ricci-Broken,1.0,24.8,74.2
grid,100,Ricci-Fixed,2.2,22.3,75.5
grid,200,PIE,17.0,54.7,28.3
grid,200,Random,1.6,20.7,77.7
grid,200,Ricci-Broken,0.4,17.8,81.8
grid,200,Ricci-Fixed,0.9,14.5,84.6
grid,300,PIE,9.2,37.2,53.6
grid,300,Random,0.9,16.5,82.6
grid,300,Ricci-Broken,0.3,15.2,84.4
grid,300,Ricci-Fixed,0.7,13.8,85.5
line,50,PIE,14.9,60.3,24.8
line,50,Random,3.3,33.0,63.8
line,50,Ricci-Broken,1.6,34.1,64.3
line,50,Ricci-Fixed,1.8,42.6,55.6
line,100,PIE,5.3,56.5,38.1
line,100,Random,2.2,28.3,69.4
line,100,Ricci-Broken,0.9,40.5,58.7
line,100,Ricci-Fixed,0.8,33.4,65.8
line,200,PIE,1.0,51.1,47.8
line,200,Random,1.1,23.8,75.1
line,200,Ricci-Broken,0.5,24.4,75.1
line,200,Ricci-Fixed,0.5,23.0,76.6
line,300,PIE,1.4,53.0,45.6
line,300,Random,0.9,21.4,77.7
line,300,Ricci-Broken,0.3,21.5,78.2
line,300,Ricci-Fixed,0.3,15.3,84.4
lollipop,50,PIE,10.3,63.5,26.2
lollipop,50,Random,3.7,36.7,59.6
lollipop,50,Ricci-Broken,2.0,34.1,63.9
lollipop,50,Ricci-Fixed,2.5,35.0,62.5
lollipop,100,PIE,3.8,60.4,35.8
lollipop,100,Random,2.2,36.9,60.9
lollipop,100,Ricci-Broken,1.2,37.5,61.3
lollipop,100,Ricci-Fixed,1.2,31.1,67.7
lollipop,200,PIE,2.1,60.9,37.0
lollipop,200,Random,1.0,28.9,70.1
lollipop,200,Ricci-Broken,0.8,36.0,63.1
lollipop,200,Ricci-Fixed,0.8,35.9,63.3
lollipop,300,PIE,1.2,58.8,39.9
lollipop,300,Random,0.7,32.8,66.5
lollipop,300,Ricci-Broken,0.5,33.1,66.4
lollipop,300,Ricci-Fixed,0.5,30.9,68.6
